v8-version,5,1,281,111,0
shared-library,"/usr/bin/node",0x00400000,0x01bfc000
shared-library,"/lib/x86_64-linux-gnu/libc-2.23.so",0x7fe4062aa000,0x7fe40646a000
shared-library,"/lib/x86_64-linux-gnu/libpthread-2.23.so",0x7fe406674000,0x7fe40668c000
shared-library,"/lib/x86_64-linux-gnu/libgcc_s.so.1",0x7fe406891000,0x7fe4068a7000
shared-library,"/lib/x86_64-linux-gnu/libm-2.23.so",0x7fe406aa7000,0x7fe406baf000
shared-library,"/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.21",0x7fe406db0000,0x7fe406f22000
shared-library,"/lib/x86_64-linux-gnu/librt-2.23.so",0x7fe407132000,0x7fe407139000
shared-library,"/lib/x86_64-linux-gnu/libdl-2.23.so",0x7fe40733a000,0x7fe40733d000
shared-library,"/lib/x86_64-linux-gnu/ld-2.23.so",0x7fe40753e000,0x7fe407564000
shared-library,"[vdso]",0x7ffc5d3fb000,0x7ffc5d3fd000
shared-library,"[vsyscall]",0xffffffffff600000,0xffffffffff601000
profiler,"begin",1
tick,0xcccc7e,4577,0,0x0,1
tick,0xa040b0,5620,0,0x0,4
code-creation,Stub,3,0x2b1e55a06000,454,"CallConstructStub"
code-creation,Stub,3,0x2b1e55a061e0,539,"CreateAllocationSiteStub"
code-creation,Stub,3,0x2b1e55a06400,2421,"RecordWriteStub"
code-creation,Stub,3,0x2b1e55a06d80,388,"StoreBufferOverflowStub"
code-creation,Stub,3,0x2b1e55a06f20,2380,"RecordWriteStub"
code-creation,Stub,3,0x2b1e55a07880,577,"CEntryStub"
code-creation,Stub,3,0x2b1e55a07ae0,431,"CreateWeakCellStub"
code-creation,Stub,3,0x2b1e55a07ca0,2422,"RecordWriteStub"
code-creation,Stub,3,0x2b1e55a08620,2376,"RecordWriteStub"
code-creation,Builtin,5,0x2b1e55a08f80,168,"Construct"
code-creation,Builtin,5,0x2b1e55a09040,114,"ConstructFunction"
code-creation,Builtin,5,0x2b1e55a090c0,259,"ConstructBoundFunction"
code-creation,Stub,3,0x2b1e55a091e0,392,"CEntryStub"
code-creation,Builtin,5,0x2b1e55a09380,121,"ConstructProxy"
code-creation,Builtin,5,0x2b1e55a09400,406,"CallFunction_ReceiverIsAny"
code-creation,Stub,3,0x2b1e55a095a0,435,"ToObjectStub"
code-creation,Builtin,5,0x2b1e55a09760,353,"ArgumentsAdaptorTrampoline"
code-creation,Builtin,5,0x2b1e55a098e0,149,"ConstructedNonConstructable"
code-creation,Stub,16,0x2b1e55a09980,186,"CompareICStub"
code-creation,Stub,15,0x2b1e55a09a40,204,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a09b20,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x2b1e55a09ba0,443,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a09d60,120,"An IC handler from the snapshot"
code-creation,Stub,3,0x2b1e55a09de0,511,"ArrayNoArgumentConstructorStub"
code-creation,Stub,15,0x2b1e55a09fe0,244,"BinaryOpICStub"
code-creation,Stub,3,0x2b1e55a0a0e0,495,"InternalArrayNArgumentsConstructorStub"
code-creation,Stub,3,0x2b1e55a0a2e0,2376,"RecordWriteStub"
code-creation,CallIC,12,0x2b1e55a0ac40,458,"A call IC from the snapshot"
code-creation,Stub,3,0x2b1e55a0ae20,285,"ArrayConstructorStub"
code-creation,Stub,3,0x2b1e55a0af40,539,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x2b1e55a0b160,551,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x2b1e55a0b3a0,491,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x2b1e55a0b5a0,491,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x2b1e55a0b7a0,511,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x2b1e55a0b9a0,503,"ArrayNoArgumentConstructorStub"
code-creation,Builtin,5,0x2b1e55a0bba0,248,"Call_ReceiverIsAny"
code-creation,Builtin,5,0x2b1e55a0bca0,259,"CallBoundFunction"
code-creation,Builtin,5,0x2b1e55a0bdc0,381,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Stub,15,0x2b1e55a0bf40,284,"BinaryOpICStub"
code-creation,Stub,16,0x2b1e55a0c060,186,"CompareICStub"
code-creation,Stub,3,0x2b1e55a0c120,2392,"RecordWriteStub"
code-creation,Stub,15,0x2b1e55a0ca80,151,"BinaryOpICStub"
code-creation,Stub,3,0x2b1e55a0cb20,142,"StringToNumberStub"
code-creation,Stub,3,0x2b1e55a0cbc0,1307,"FastNewContextStub"
code-creation,Stub,15,0x2b1e55a0d0e0,151,"BinaryOpICStub"
code-creation,Stub,15,0x2b1e55a0d180,443,"BinaryOpICStub"
code-creation,Stub,3,0x2b1e55a0d340,1538,"RecordWriteStub"
code-creation,Stub,3,0x2b1e55a0d960,168,"StoreBufferOverflowStub"
code-creation,Stub,3,0x2b1e55a0da20,1035,"FastNewContextStub"
code-creation,Handler,4,0x2b1e55a0de40,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x2b1e55a0dec0,415,"BinaryOpICStub"
code-creation,Stub,3,0x2b1e55a0e060,899,"FastNewContextStub"
code-creation,Stub,15,0x2b1e55a0e400,204,"BinaryOpICStub"
code-creation,Stub,15,0x2b1e55a0e4e0,151,"BinaryOpICStub"
code-creation,CallIC,12,0x2b1e55a0e580,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x2b1e55a0e600,464,"A call IC from the snapshot"
code-creation,Stub,3,0x2b1e55a0e7e0,284,"ArrayConstructorStub"
code-creation,Stub,3,0x2b1e55a0e900,762,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,0x2b1e55a0ec00,2434,"RecordWriteStub"
code-creation,Stub,3,0x2b1e55a0f5a0,770,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,0x2b1e55a0f8c0,571,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,0x2b1e55a0fb00,571,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,0x2b1e55a0fd40,503,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,0x2b1e55a0ff40,503,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,0x2b1e55a10140,543,"ArrayNArgumentsConstructorStub"
code-creation,CallIC,12,0x2b1e55a10360,113,"A call IC from the snapshot"
code-creation,Stub,15,0x2b1e55a103e0,356,"BinaryOpICStub"
code-creation,Stub,3,0x2b1e55a10560,184,"DoubleToIStub"
code-creation,Stub,3,0x2b1e55a10620,507,"NumberToStringStub"
code-creation,Stub,3,0x2b1e55a10820,182,"DoubleToIStub"
code-creation,Stub,15,0x2b1e55a108e0,204,"BinaryOpICStub"
code-creation,Stub,15,0x2b1e55a109c0,244,"BinaryOpICStub"
code-creation,Stub,3,0x2b1e55a10ac0,182,"DoubleToIStub"
code-creation,Stub,15,0x2b1e55a10b80,443,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a10d40,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a10dc0,328,"An IC handler from the snapshot"
code-creation,Stub,3,0x2b1e55a10f20,791,"FastNewClosureStub"
code-creation,Stub,3,0x2b1e55a11240,2410,"RecordWriteStub"
code-creation,Stub,3,0x2b1e55a11bc0,2406,"RecordWriteStub"
code-creation,CallIC,12,0x2b1e55a12540,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x2b1e55a125c0,464,"A call IC from the snapshot"
code-creation,Builtin,5,0x2b1e55a127a0,248,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Stub,15,0x2b1e55a128a0,151,"BinaryOpICStub"
code-creation,Stub,3,0x2b1e55a12940,575,"FastNewContextStub"
code-creation,Stub,3,0x2b1e55a12b80,523,"FastNewContextStub"
code-creation,Stub,15,0x2b1e55a12da0,471,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a12f80,328,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a130e0,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a13160,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x2b1e55a131e0,320,"BinaryOpICStub"
code-creation,Stub,3,0x2b1e55a13320,1224,"BinaryOpWithAllocationSiteStub"
code-creation,Stub,3,0x2b1e55a13800,363,"FastNewContextStub"
code-creation,Stub,15,0x2b1e55a13980,447,"BinaryOpICStub"
code-creation,Stub,15,0x2b1e55a13b40,443,"BinaryOpICStub"
code-creation,CallIC,12,0x2b1e55a13d00,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x2b1e55a13d80,464,"A call IC from the snapshot"
code-creation,Stub,15,0x2b1e55a13f60,447,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a14120,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x2b1e55a141a0,276,"BinaryOpICStub"
code-creation,Stub,3,0x2b1e55a142c0,188,"DoubleToIStub"
code-creation,Stub,3,0x2b1e55a14380,419,"FastNewContextStub"
code-creation,Stub,15,0x2b1e55a14540,244,"BinaryOpICStub"
code-creation,Stub,3,0x2b1e55a14640,385,"JSEntryStub"
code-creation,Stub,3,0x2b1e55a147e0,1966,"FastCloneShallowArrayStub"
code-creation,Stub,3,0x2b1e55a14fa0,2406,"RecordWriteStub"
code-creation,Stub,15,0x2b1e55a15920,276,"BinaryOpICStub"
code-creation,Stub,15,0x2b1e55a15a40,320,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a15b80,116,"An IC handler from the snapshot"
code-creation,Stub,3,0x2b1e55a15c00,407,"FastNewContextStub"
code-creation,Handler,4,0x2b1e55a15da0,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x2b1e55a15e20,356,"BinaryOpICStub"
code-creation,Handler,4,0x2b1e55a15fa0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a16020,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a160a0,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a16120,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x2b1e55a161a0,120,"An IC handler from the snapshot"
code-creation,CallIC,12,0x2b1e55a16220,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x2b1e55a162a0,464,"A call IC from the snapshot"
code-creation,Stub,3,0x2b1e55a16480,333,"ArrayConstructorStub"
